id,price_000,yr_2001,yr_2002,yr_2003,yr_2004,yr_2005,yr_2006,apt,floor,age_0_10,age_10_20,age_20_more,num_room,num_bath,num_garage,area_m2,ses,pop_dens,pcnt_indu,pcnt_com,pcnt_insti,pcnt_vacant,pcn_green,homicides,house,ses_bin,lnprice,price_hi
503147,43260,0,0,0,1,0,0,1,6,0,1,0,3,2,1,58,3,474.4,3.58,0,0.89,10.58,12.62,89.1,0,0,10.67498,0
503150,43300,0,0,0,0,0,1,1,3,1,0,0,2,2,3,43,3,471.46,0,0,2.16,0,1.29,52,0,0,10.67591,0
503151,43300,0,0,0,1,0,0,1,4,0,1,0,3,2,1,50,3,443,19.63,0,6.18,16.42,1.36,52,0,0,10.67591,0
503159,43500,0,0,0,0,1,0,1,1,0,1,0,3,2,1,64,3,182.44,24.23,0,0,14.74,0.17,54.25,0,0,10.68052,0
503160,43500,0,0,0,1,0,0,1,1,0,1,0,3,2,1,64,3,162.59,22.95,0,0,12.21,0.14,53.84,0,0,10.68052,0
503161,43500,0,0,0,1,0,0,1,1,0,1,0,3,2,1,64,3,155.99,22.59,0,0,11.41,0.11,53.48,0,0,10.68052,0
503162,43500,0,0,0,0,1,0,1,1,0,1,0,3,2,1,64,3,155.99,22.59,0,0,11.41,0.11,53.48,0,0,10.68052,0
503163,43500,0,0,0,0,1,0,1,1,0,1,0,3,2,1,64,3,155.78,22.63,0,0,11.42,0.1,53.31,0,0,10.68052,0
503164,43500,0,0,0,0,0,1,1,1,0,1,0,3,2,1,64,3,193.62,9.07,0,1.58,7.77,0.79,52,0,0,10.68052,0
503165,43500,0,0,0,0,0,1,0,0,0,1,0,3,2,1,64,3,193.62,9.07,0,1.58,7.77,0.79,52,1,0,10.68052,0
503166,43500,0,0,0,0,1,0,1,6,1,0,0,3,2,1,64,3,155.99,22.59,0,0,11.41,0.11,53.48,0,0,10.68052,0
503167,43500,0,0,0,0,1,0,1,1,1,0,0,3,2,1,65,3,155.99,22.59,0,0,11.41,0.11,53.48,0,0,10.68052,0
503172,43648,0,0,0,1,0,0,1,3,0,1,0,3,1,1,58,3,529.67,13.94,0,8,8.15,1.81,52,0,0,10.68391,0
503231,44000,0,0,0,0,0,1,1,2,0,1,0,3,1,1,51,3,680.23,6.96,0,0,42.26,13.62,234,0,0,10.69195,0
503232,44000,0,0,0,0,0,1,1,2,0,1,0,3,2,1,51,3,463.54,19.64,0,4.9,17.66,1.25,52,0,0,10.69195,0
503238,44000,0,0,0,1,0,0,1,1,0,1,0,3,2,0,55,3,726.02,2.44,0,2.12,8.18,0.46,234,0,0,10.69195,0
503239,44000,0,0,0,1,0,0,1,1,1,0,0,2,2,1,55,3,852.65,16.05,0,0.43,27.65,0.9,234,0,0,10.69195,0
503240,44000,0,0,0,1,0,0,1,1,0,1,0,3,2,1,55,3,852.94,16.08,0,0.42,27.7,0.91,234,0,0,10.69195,0
503241,44000,0,0,0,1,0,0,1,1,1,0,0,2,2,1,55,3,884.63,19.48,0,0,32.57,1.02,234,0,0,10.69195,0
503245,44000,0,0,0,0,1,0,1,4,0,0,0,3,2,1,55,3,236.74,10.42,0,1.06,11.19,2.36,76.45,0,0,10.69195,0
